model,tissue,macroF1_native,wtdF1_native,n_native_classes,macroF1_common_other,wtdF1_common_other,macroF1_common_exclude,wtdF1_common_exclude,n_common_classes,macroF1_common_excl_ci_lo,macroF1_common_excl_ci_hi,wtdF1_common_excl_ci_lo,wtdF1_common_excl_ci_hi,n_eval_cells
geneformer,lung,0.01883830455259027,0.009308338720103428,7,0.01883830455259027,0.009308338720103428,0.01883830455259027,0.009308338720103428,7,0.006349206349206349,0.035464435722646834,0.00101010101010101,0.02840261134596108,85
scgpt,lung,1.2190504054485458e-05,2.167423706775478e-07,54,0.059436452505146696,0.10928531024919304,0.059436452505146696,0.10928531024919304,7,0.057824236055918084,0.061038143955845565,0.10270521231067131,0.1160763440953116,8958
geneformer,liver,0.1719499788843428,0.25558149563665855,6,0.1719499788843428,0.25558149563665855,0.1719499788843428,0.25558149563665855,6,0.14372686575468807,0.20020181052550404,0.22315790982069306,0.2917822406636776,600
scgpt,liver,0.0019407329999253564,0.000553379924159044,17,0.007096639532456689,0.0009262408602822551,0.007096639532456689,0.0009262408602822551,6,0.006497085755288992,0.007747498912242767,0.0007749224363673575,0.0011061366885098177,20319
geneformer,heart,0.483271375464684,0.9039608461929342,2,0.483271375464684,0.9039608461929342,0.483271375464684,0.9039608461929342,2,0.4715418118466899,0.4926523109243698,0.8415109709012148,0.9567651883166004,139
scgpt,heart,0.00034661983761921693,4.07929307061622e-05,26,0.4795424770734657,0.8836878215331926,0.4795424770734657,0.8836878215331926,2,0.47815382087209657,0.48082940613785785,0.8762393424921311,0.8906394958353132,10329
uce,heart,0.030211635725501975,0.08820514096415617,26,0.45804940931890453,0.7386812449535297,0.45804940931890453,0.7386812449535297,2,0.45024840175886877,0.46671196714800783,0.7307468237190528,0.747275750277207,10120
geneformer,kidney,0.0639301932152079,0.39171263123528705,11,0.0639301932152079,0.39171263123528705,0.0639301932152079,0.39171263123528705,11,0.060976711622829326,0.072,0.35086452924062456,0.4327113496984667,684
scgpt,kidney,0.0006027133753643821,0.0003563642648282519,44,0.003986073262485376,0.0009828179062397466,0.003986073262485376,0.0009828179062397466,11,0.003673552197544118,0.004311254234312777,0.0008332827330330028,0.0011518201114882707,25385
geneformer,brain,0.11556415164949108,0.054421673072142664,5,0.11556415164949108,0.054421673072142664,0.11556415164949108,0.054421673072142664,5,0.07574644874912885,0.15332315698756238,0.03892136807515963,0.07324436380365361,579
scgpt,brain,0.002165152579375232,0.012060396544429895,69,0.06257122785106549,0.05801459267767893,0.06257122785106549,0.05801459267767893,5,0.06035139515724621,0.06480259398065284,0.053618520629778094,0.06264034433584761,10807
uce,brain,0.02020457369036771,0.06249155363822299,69,0.29990357416861596,0.37144651905710324,0.29990357416861596,0.37144651905710324,5,0.2927584381104695,0.30693634257438485,0.36167163541196845,0.3809234837435528,10807
