model,metric,mean,ci_lower,ci_upper,se,n_bootstrap
geneformer,AUROC,0.633455956802562,0.5760278280412405,0.6881014591480402,0.0289755789042857,1000
geneformer,AUPRC,0.0046855608084569,0.0031589542464777,0.0068933631592967,0.0009741178820943,1000
geneformer,EPR,6.034168452005883,0.0,18.06637261079605,5.609758967906041,1000
scgpt,AUROC,0.5150291112784122,0.5002373060567276,0.5329146242036884,0.0081636676413727,1000
scgpt,AUPRC,0.002910559937594,0.001637772520281,0.0064102602579213,0.0012955410786113,1000
scgpt,EPR,9.444196282293635,0.0,22.582965763495064,6.660855447250378,1000
transcriptformer,AUROC,0.5979210652400057,0.5456223206649156,0.6488174019111479,0.026656893291517,1000
transcriptformer,AUPRC,0.0174621313264312,0.00241132611634,0.0397359525853143,0.0102311460781709,1000
transcriptformer,EPR,9.073835643772318,0.0,22.582965763495064,6.295524717452832,1000
uce,AUROC,0.4257600396274101,0.3785188017134244,0.4753531486416882,0.0250855701222544,1000
uce,AUPRC,0.0017253647203559,0.0012564236851748,0.0028606338561974,0.0004791395891688,1000
uce,EPR,4.43981106910313,0.0,13.54977945809704,4.465923373162606,1000
coexpression,AUROC,0.5582767555148976,0.5292165714762743,0.5903903064063947,0.015136233203018927,1000
coexpression,AUPRC,0.004453990969088853,0.0023578366765531237,0.008640530246407511,0.001678377905414243,1000
coexpression,EPR,14.592538189386058,3.8665972944849116,27.162845993756417,7.11528530986414,1000
degree_null,AUROC,0.5577142215837548,0.5287116235469262,0.5893647171767064,0.015016150024191176,1000
degree_null,AUPRC,0.002729863796278216,0.001966162051616164,0.004124018183859422,0.0005759542314948411,1000
degree_null,EPR,3.847264308012487,0.0,11.599791883454735,3.740642448541193,1000
pyscenic,AUROC,0.5014038928687995,0.5003031166574472,0.5027760754174048,0.0006302386130280711,1000
pyscenic,AUPRC,0.0010836144156915184,0.0010588599396621347,0.001135765821977033,2.118436424978696e-05,1000
pyscenic,EPR,3.3628249004478907,1.747829989837781,5.53479496781964,0.9688300238370391,1000
