TF,target,score
FOXN1,IFITM5,1.0
HOXC10,RLBP1,1.0
HR,AMPD1,1.0
HR,ATP6V0A4,1.0
HR,CXorf66,1.0
HR,FAM71A,1.0
HR,OR5F1,1.0
HR,TMPRSS4,1.0
HR,TRIM49,1.0
HR,TRIM49L2,1.0
NEUROD1,ARSH,1.0
NEUROD1,FAM75D4,1.0
NEUROD1,KERA,1.0
NEUROD1,OR10J3,1.0
NEUROD1,ZP2,1.0
NKX2-2,NKX2-8,1.0
NR0B2,KCNS2,1.0
PAX1,MBD3L2,1.0
PAX1,MBD3L3,1.0
PITX3,BTN1A1,1.0
RORC,C4BPA,1.0
RORC,SPATA8,1.0
SCD5,ASTN2,0.9576944509719091
SP100,XAF1,0.9464217974870491
SCD5,REXO1L1,0.9364216402951959
SCD5,TMEM212,0.9218977743493452
SP100,TMEM212,0.9193748244421179
SP100,ODF2L,0.9176913975098302
SCD5,XAF1,0.9176538698491958
SHOX,SPN,0.916582990947354
SCD5,ODF2L,0.9155028625931455
SP100,SPINLW1,0.9104428484712922
SCD5,MAB21L3,0.9083427317231629
SCD5,F5,0.9032007955644198
SHOX,ARGFX,0.9001621158717061
SSX2,SSX2B,0.8976963109223518
SP100,HTRA4,0.8946245973499319
SCD5,SP100,0.8918051092697605
SP100,SCD5,0.8918051092697605
SCD5,SPINLW1,0.8894531679068888
SCD5,ORC4,0.8879110771886528
SP100,ASTN2,0.8870033045695204
POU2AF1,CER1,0.8833739696268249
SP100,ORC4,0.8828818471500309
SHOX,PDE6A,0.8784935969822383
SHOX,CABP4,0.8774037881129916
SHOX,IL12RB1,0.876468078712782
SP100,SHISA9,0.8762331415009512
SCD5,CFLAR,0.8759090865694384
SHOX,SIGLEC10,0.8741605563680676
SHOX,GP6,0.8724670477215728
SCD5,SHISA9,0.8715873163064753
SHOX,TLCD2,0.8712866231869109
SHOX,TMEM236,0.8682744887573115
SCD5,POTEM,0.8664080815192889
SCD5,HTRA4,0.8656721930637946
SHOX,CD84,0.8656337683954184
SP100,NXNL2,0.8624052267679692
SCD5,ZNF471,0.8616394087552154
SP100,CLEC4E,0.8577436629080171
SCD5,KLRD1,0.8567781708125793
SP100,TRIM4,0.8560452023261369
SP100,KLRD1,0.8560274246230254
SP100,CFLAR,0.8550179999826137
SHOX,C8orf80,0.8544181747482144
SHOX,C1orf130,0.8540318691473493
SHOX,NLRP12,0.8538340435194304
SCD5,NXNL2,0.8523954357115073
SCD5,GLIPR1L2,0.8519646733431134
SP100,REXO1L1,0.850396421734803
SP100,F5,0.8503040388224523
SHOX,ZC3H12D,0.8497087278613947
SP100,GBP4,0.8495845898750894
SHOX,C21orf62,0.8486630658418347
SHOX,CYP1A2,0.8479695271932186
SHOX,TNFRSF9,0.8474183157656889
SP100,GLIPR1L2,0.8469274704631559
SHOX,ANKS4B,0.8463824559589613
SP100,C2orf91,0.8456515261199611
SHOX,PAPL,0.8453807859098185
SCD5,C2orf91,0.8434534309294357
SP100,FGF5,0.8430219279900422
SHOX,CPM,0.8422491380068169
SHOX,IL6R,0.8421282955790392
