TF,target,score
FOXN1,IFITM5,0.3745401188473625
HOXC10,RLBP1,0.9507143064099162
HR,AMPD1,0.7319939418114051
HR,ATP6V0A4,0.5986584841970366
HR,CXorf66,0.15601864044243652
HR,FAM71A,0.15599452033620265
HR,OR5F1,0.05808361216819946
HR,TMPRSS4,0.8661761457749352
HR,TRIM49,0.6011150117432088
HR,TRIM49L2,0.7080725777960455
NEUROD1,ARSH,0.020584494295802447
NEUROD1,FAM75D4,0.9699098521619943
NEUROD1,KERA,0.8324426408004217
NEUROD1,OR10J3,0.21233911067827616
NEUROD1,ZP2,0.18182496720710062
NKX2-2,NKX2-8,0.18340450985343382
NR0B2,KCNS2,0.3042422429595377
PAX1,MBD3L2,0.5247564316322378
PAX1,MBD3L3,0.43194501864211576
PITX3,BTN1A1,0.2912291401980419
RORC,C4BPA,0.6118528947223795
RORC,SPATA8,0.13949386065204183
SCD5,ASTN2,0.29214464853521815
SP100,XAF1,0.3663618432936917
SCD5,REXO1L1,0.45606998421703593
SCD5,TMEM212,0.7851759613930136
SP100,TMEM212,0.19967378215835974
SP100,ODF2L,0.5142344384136116
SCD5,XAF1,0.5924145688620425
SHOX,SPN,0.046450412719997725
SCD5,ODF2L,0.6075448519014384
SP100,SPINLW1,0.17052412368729153
SCD5,MAB21L3,0.06505159298527952
SCD5,F5,0.9488855372533332
SHOX,ARGFX,0.9656320330745594
SSX2,SSX2B,0.8083973481164611
SP100,HTRA4,0.3046137691733707
SCD5,SP100,0.09767211400638387
SP100,SCD5,0.6842330265121569
SCD5,SPINLW1,0.4401524937396013
SCD5,ORC4,0.12203823484477883
SP100,ASTN2,0.4951769101112702
POU2AF1,CER1,0.034388521115218396
SP100,ORC4,0.9093204020787821
SHOX,PDE6A,0.2587799816000169
SHOX,CABP4,0.662522284353982
SHOX,IL12RB1,0.31171107608941095
SP100,SHISA9,0.5200680211778108
SCD5,CFLAR,0.5467102793432796
SHOX,SIGLEC10,0.18485445552552704
SHOX,GP6,0.9695846277645586
SCD5,SHISA9,0.7751328233611146
SHOX,TLCD2,0.9394989415641891
SHOX,TMEM236,0.8948273504276488
SCD5,POTEM,0.5978999788110851
SCD5,HTRA4,0.9218742350231168
SHOX,CD84,0.0884925020519195
SP100,NXNL2,0.1959828624191452
SCD5,ZNF471,0.045227288910538066
SP100,CLEC4E,0.32533033076326434
SCD5,KLRD1,0.388677289689482
SP100,TRIM4,0.2713490317738959
SP100,KLRD1,0.8287375091519293
SP100,CFLAR,0.3567533266935893
SHOX,C8orf80,0.28093450968738076
SHOX,C1orf130,0.5426960831582485
SHOX,NLRP12,0.14092422497476265
SCD5,NXNL2,0.8021969807540397
SCD5,GLIPR1L2,0.07455064367977082
SP100,REXO1L1,0.9868869366005173
SP100,F5,0.7722447692966574
SHOX,ZC3H12D,0.1987156815341724
SP100,GBP4,0.005522117123602399
SHOX,C21orf62,0.8154614284548342
SHOX,CYP1A2,0.7068573438476171
SHOX,TNFRSF9,0.7290071680409873
SP100,GLIPR1L2,0.7712703466859457
SHOX,ANKS4B,0.07404465173409036
SP100,C2orf91,0.3584657285442726
SHOX,PAPL,0.11586905952512971
SCD5,C2orf91,0.8631034258755935
SP100,FGF5,0.6232981268275579
SHOX,CPM,0.3308980248526492
SHOX,IL6R,0.06355835028602363
