model_a,model_b,metric,delta_mean,delta_ci_lower,delta_ci_upper,p_value_two_sided,q_value_BH_m2
geneformer,scgpt,AUROC,0.117709015813836,0.0647104957451289,0.1757564390955344,0.0,
geneformer,scgpt,AUPRC,0.0017570630797895,-0.0010975828206708,0.0038318951535839,0.146,
geneformer,scgpt,EPR,-2.8590034656584757,-13.54977945809704,9.033186305398026,0.952,
geneformer,transcriptformer,AUROC,0.0351713940339323,-0.0241142172215281,0.0955163402101176,0.25,
geneformer,transcriptformer,AUPRC,-0.0118422961265585,-0.0351935601435907,0.002770998675884,0.318,
geneformer,transcriptformer,EPR,-1.9331018693551771,-18.06637261079605,13.54977945809704,1.0,
geneformer,uce,AUROC,0.2061957597185966,0.1316546268515911,0.2765880360610952,0.0,
geneformer,uce,AUPRC,0.0029415118799379,0.0006846784622992,0.005325793860318,0.018,
geneformer,uce,EPR,2.0866660365469443,-13.54977945809704,18.06637261079605,1.0,
scgpt,transcriptformer,AUROC,-0.083570272118005,-0.1333469620588767,-0.0298884068856275,0.0,
scgpt,transcriptformer,AUPRC,-0.0140305824646969,-0.0370791394038685,0.0007444686468015,0.11,
scgpt,transcriptformer,EPR,0.8039535811804244,-18.06637261079605,18.06637261079605,1.0,
scgpt,uce,AUROC,0.0877462077947239,0.0365974020259072,0.1367631385513052,0.0,
scgpt,uce,AUPRC,0.0011507161990033,-0.0007725944866369,0.0044448430854726,0.228,
scgpt,uce,EPR,5.139883007771477,-9.033186305398026,22.582965763495064,0.718,
transcriptformer,uce,AUROC,0.169631848220994,0.093788512936752,0.2407788587234981,0.0,
transcriptformer,uce,AUPRC,0.0151817436214661,0.0004300119428776,0.0379126466481431,0.016,
transcriptformer,uce,EPR,4.1100997689561005,-9.033186305398026,18.06637261079605,0.86,
geneformer,coexpression,AUROC,0.1235608508152387,0.0969338618525383,0.1480094648446741,0.0,
geneformer,coexpression,AUPRC,2.6542743644184108e-05,-0.0006267569991988,0.0002838552707847,0.692,0.692
geneformer,coexpression,EPR,-24.196771719878388,-52.22861610827896,0.0,0.0,
scgpt,coexpression,AUROC,0.0162827021973503,0.0112409521068209,0.0214717524453277,0.0,
scgpt,coexpression,AUPRC,0.0017588065119033,0.0006435827538028,0.0036145074997862,0.0,0.0
scgpt,coexpression,EPR,14.722956917426185,7.66544274606674,21.831770590240065,0.0,
