,A:PDS,A:DES,A:MAE,A:Composite,B:MacroF1,B:WeightedF1,C:AUROC,C:AUPRC,C:EPR,D:PearsonR,D:RMSE,E:KendallTau,E:kNN_BalAcc
Geneformer V2-316M,0.6267,0.8778,0.0045,0.7523,0.1813,0.318,0.6263,0.0005,0.0,0.0007,0.848,-0.0172,0.5535
scGPT (fine-tuned),0.5025,0.8439,0.0047,0.6732,0.0121,0.1071,0.5187,0.0027,20.0481,0.0638,0.8104,-0.0572,0.5527
UCE 33-layer,N/A,N/A,N/A,N/A,0.0267,0.0762,N/A,N/A,N/A,0.1315,0.7609,0.1356,0.6671
TranscriptFormer,-0.1742,0.5986,0.6514,0.2122,0.1559,0.3469,N/A,N/A,N/A,0.2318,0.6721,0.0462,0.4501
Arc State,0.402,0.751,0.0023,0.5765,N/A,N/A,N/A,N/A,N/A,DNR,DNR,DNR,DNR
Additive baseline,0.8903,0.9986,0.0022,0.9445,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mean baseline,0.5786,0.8706,0.005,0.7246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
No-change baseline,0.0,0.0,0.0068,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PCA + ridge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1101,0.7741,N/A,N/A
PCA + kNN,N/A,N/A,N/A,N/A,0.166,0.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PCA + DPT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1898,0.6787
scLinear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1285,0.7564,N/A,N/A
Mean celltype,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1516,0.7759,N/A,N/A
Co-expression corr,N/A,N/A,N/A,N/A,N/A,N/A,0.558,0.004,15.5,N/A,N/A,N/A,N/A
pySCENIC,N/A,N/A,N/A,N/A,N/A,N/A,0.5014,0.0011,3.4957,N/A,N/A,N/A,N/A
Degree-null baseline,N/A,N/A,N/A,N/A,N/A,N/A,0.5,0.0003,1.1341,N/A,N/A,N/A,N/A
